Number,Cumulative Number,State,Region,Year,Spending (in Millions of Dollars),,,,
51,14,Wyoming,Rocky Mountains,2004,112,,,,
51,15,Wyoming,Rocky Mountains,2005,124,,,,
51,16,Wyoming,Rocky Mountains,2006,136,,,,
51,17,Wyoming,Rocky Mountains,2007,141,,,,
51,18,Wyoming,Rocky Mountains,2008,159,,,,
51,19,Wyoming,Rocky Mountains,2009,175,,,,
51,20,Wyoming,Rocky Mountains,2010,171,,,,
51,21,Wyoming,Rocky Mountains,2011,165,,,,
51,22,Wyoming,Rocky Mountains,2012,168,,,,
51,23,Wyoming,Rocky Mountains,2013,180,,,,
51,24,Wyoming,Rocky Mountains,2014,175,,,,
